account_ref,name,c_address_1,c_address_2,c_address_3,c_address_4,c_address_5,vat_reg_number,member_id
8541,Savvi Travel Ampthill Ltd,3 Bedford Street,Ampthill,,,MK45 2LU,,242
8542,Savvi Travel Olney Ltd,8 High Street,Olney,,,MK46 4BB,,242
8543,Savvi Travel Hitchin Ltd,19 High Street,Hitchin,,,SG5 1HU,28616785,242
8544,Savvi Travel Ltd (Oakham),15 Mill Street,Oakham,Rutland,,LE15 6EA,,242
9012,Lincolnshire Co-operative Travel Grantham,1st Floor,Downtown Garden Centre,Grantham,,NG32 2AB,,243
9076,Connect Travel,"Suite G17, The Genesis Centre",North Staffs Business Park,Stoke On Trent,Staffordshire,ST6 4BF,,244
9265,Dorking Travel,14 Lodge Close,Fetcham,,,KT22 9QZ,,245
9388,Travel Solutions,49 Station Approach,Hayes,Bromley,Kent,BR2 7EB,,246
9502,2001 Travel Ltd,47-49 Daws Lane,London,,,NW7 4SD,,247
9753,Ottery Travel,14A Mill Street,Ottery St Mary,Devon,,EX11 1AD,,248
3365,York Road Travel Ltd,79 York Road,,,London,SE1 1NJ,,120
4579,Holidays Cruises For You,32 Silver Street,Bradford-On-Avon,Wiltshire,,BA15 1JX,,208
7137,Sand & Trek Tours (UK) Ltd,274 Upper Halliford Road,Shepperton,Surrey,,TW17 8SY,,235
7813,Unwind Travel,Manor Cottage,Toot,Baldon,Oxford,OX44 9NG,,240
7974,Tropic Escapes,20 Torun Way,Swindon,,,SN25 1TA,,241
4892,eShores Ltd,818 Manchester Road,Casleton,Rochdale,,OL11 3AW,,215
