Type,Account Reference,Date,Reference,Extra Reference,Nominal A/C Ref,Department Code,Details,  Net Amount   ,Tax Code,    Tax Amount     
SC,3554,10/03/2023,March'23 ADDS,,1151,,Azamara 2022 Bonus 01Sep-31Oct22,28.76,T1,5.75
SC,3554,10/03/2023,March'23 ADDS,,1151,,Azamara 2022 Bonus 01Sep-31Oct22,31.38,T1,6.28
SC,3554,10/03/2023,March'23 ADDS,,1151,,Azamara 2022 Bonus 01Sep-31Oct22,44.7,T1,8.94
SC,3554,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 79 pax £3pp,237,T1,47.4
SC,3559,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 69 pax £3pp,207,T1,41.4
SC,3601,10/03/2023,March'23 ADDS,,1151,,Celebrity 01July22-31July22,416.2,T1,83.24
SC,3601,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,50,T1,10
SC,3601,10/03/2023,March'23 ADDS,,1151,,Celebrity 25May22-07Jun22 Tactical,159.35,T1,31.87
SC,3601,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 78 pax £3pp,234,T1,46.8
SC,3605,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,3605,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 67 pax £3pp,201,T1,40.2
SC,3607,10/03/2023,March'23 ADDS,,1151,,Easyjet 13th-15th Dec22 Incentive,10,T1,2
SC,3607,10/03/2023,March'23 ADDS,,1151,,Easyjet 13th-15th Dec22 Incentive,10,T1,2
SC,3607,10/03/2023,March'23 ADDS,,1151,,Easyjet 13th-15th Dec22 Incentive,10,T1,2
SC,3607,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 189 pax £3pp,567,T1,113.4
SC,3608,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,75,T1,15
SC,3608,10/03/2023,March'23 ADDS,,1151,,Easyjet 13th-15th Dec22 Incentive,10,T1,2
SC,3608,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 165 pax £3pp,495,T1,99
SC,3610,10/03/2023,March'23 ADDS,,1151,,Easyjet 13th-15th Dec22 Incentive,10,T1,2
SC,3610,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 208 pax £3pp,624,T1,124.8
SC,3612,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 141 pax £3pp,423,T1,84.6
